Measurement label:,Left,
Configuration date:,2018. 8. 2. 오전 10:47:00,
Delay before start logging:,0 min,
Frequency:,100 Hz,
Accelerometer FS:,16G,
Gyroscope FS:,4000dps,
Accelerometer x,Accelerometer y,Accelerometer z
-0.421523438,-3.420087891,9.148974609
-0.694555664,-3.285966797,9.115444336
-0.603544922,-3.376977539,8.899892578
-0.555644531,-3.606899414,8.473579102
-0.656235352,-3.386557617,8.234077148
-0.498164063,-3.338657227,8.305927734
-0.182021484,-3.659589844,8.056845703
-0.35925293,-3.171005859,8.080795898
-0.680185547,-2.984194336,7.592211914
-0.526904297,-3.918251953,7.731123047
-0.225131836,-3.669169922,7.855664063
-2.102827148,-2.921923828,8.871152344
-2.098037109,-4.991220703,10.0303418
-0.426313477,-3.908671875,8.842412109
-0.287402344,-4.421206055,8.564589844
0.239501953,-4.766088867,8.804091797
-0.172441406,-4.023632813,8.818461914
-0.186811523,-4.028422852,8.981323242
-0.570014648,-3.621269531,8.535849609
-0.632285156,-3.568579102,7.956254883
-0.493374023,-3.520678711,7.91793457
-0.282612305,-3.851191406,7.956254883
-0.091010742,-4.584067383,8.32987793
-0.091010742,-4.440366211,8.157436523
-0.416733398,-3.946992188,8.301137695
-0.426313477,-4.167333984,8.444838867
-0.186811523,-4.933740234,7.836503906
-0.522114258,-4.933740234,7.893984375
-0.637075195,-4.962480469,7.630532227
-0.699345703,-5.101391602,7.769443359
-1.025068359,-4.823569336,8.363408203
-1.561552734,-3.870351563,8.660390625
-1.614243164,-4.287084961,8.607700195
-1.360371094,-4.703818359,8.454418945
-0.301772461,-4.363725586,8.885522461
-1.039438477,-4.129013672,7.836503906
-1.221459961,-4.622387695,7.999365234
-1.331630859,-4.349355469,8.171806641
-1.753154297,-3.9853125,8.128696289
-1.930385742,-3.93262207,8.205336914
-2.39980957,-4.105063477,8.104746094
-2.471660156,-3.903881836,7.932304688
-2.088457031,-4.162543945,7.946674805
-2.763852539,-4.928950195,8.406518555
-1.748364258,-4.540957031,7.802973633
-1.446591797,-4.718188477,6.907236328
-1.302890625,-4.69902832,6.916816406
-2.768642578,-5.091811523,8.607700195
0.114960938,-5.427114258,9.225615234
2.591411133,-3.88472168,8.305927734
-0.349672852,-4.694238281,8.310717773
-0.689765625,-3.764970703,7.711962891
-0.684975586,-3.262016602,6.959926758
-0.97237793,-3.31949707,6.859335938
-0.555644531,-3.640429688,6.686894531
-0.124541016,-3.9853125,6.744375
0.091010742,-3.865561523,6.365961914
-0.172441406,-3.238066406,5.704936523
-0.507744141,-2.150727539,6.456972656
-0.742456055,-1.73878418,8.190966797
-3.386557617,0.378413086,10.16925293
0.445473633,-1.216669922,9.225615234
-1.99265625,-0.814306641,10.94523926
-0.498164063,-0.852626953,9.848320313
-0.35925293,-0.823886719,9.398056641
-0.603544922,-0.387993164,9.287885742
-0.502954102,-0.354462891,8.013735352
-0.862207031,-0.105380859,6.993457031
-1.207089844,0.258662109,6.322851563
-0.522114258,-0.105380859,7.323969727
-0.167651367,-0.138911133,8.693920898
0.292192383,-0.383203125,11.33802246
1.374741211,-0.895737305,13.03848633
1.393901367,-0.943637695,13.42647949
0.584384766,-0.373623047,12.25291992
0.737666016,-0.229921875,10.5332959
0.823886719,0.565224609,9.498647461
0.752036133,1.111289063,8.363408203
0.45984375,1.231040039,8.109536133
0.661025391,1.07296875,8.962163086
0.962797852,1.896855469,10.423125
0.450263672,1.312470703,10.86859863
0.210761719,1.518442383,10.87817871
-9.843530273,-10.69136719,28.59174316
0.364042969,2.208208008,8.143066406
0.057480469,3.453618164,8.933422852
-0.191601563,1.724414063,8.411308594
-0.268242188,1.705253906,9.287885742
-0.25387207,1.489702148,9.268725586
0.158071289,0.914897461,9.383686523
0.249082031,0.531694336,9.599238281
-0.201181641,0.737666016,9.340576172
-0.522114258,0.752036133,9.311835938
-0.593964844,0.349672852,9.283095703
-0.45984375,0.517324219,8.588540039
-0.071850586,-0.354462891,8.957373047
1.484912109,2.692001953,10.26505371
0.51253418,-0.25387207,10.65304688
0.330512695,0.158071289,9.60402832
-1.556762695,0.493374023,9.944121094
0.598754883,1.628613281,8.68434082
0.373623047,1.365161133,8.559799805
-0.023950195,-0.229921875,9.445957031
2.423759766,-2.821333008,11.8697168
0.3065625,0.613125,9.388476563
-0.986748047,3.103945313,6.974296875
-0.833466797,3.056044922,7.558681641
0.699345703,3.338657227,9.814790039
0.067060547,-2.600991211,8.243657227
-1.537602539,0.81909668,10.45665527
-1.240620117,0.775986328,9.101074219
-0.464633789,0.450263672,9.747729492
-0.81909668,0.9196875,9.019643555
-0.814306641,0.019160156,9.422006836
0.191601563,0.416733398,9.40284668
-0.387993164,0.249082031,9.354946289
-0.330512695,0.20597168,9.417216797
-0.071850586,0.273032227,9.364526367
-0.196391602,0.225131836,9.335786133
-0.282612305,0.210761719,9.321416016
-0.20597168,0.20597168,9.359736328
-0.201181641,0.249082031,9.417216797
-0.220341797,0.225131836,9.40284668
-0.263452148,0.177231445,9.383686523
-0.186811523,0.158071289,9.321416016
