Measurement label:,Right,
Configuration date:,2018. 8. 2. 오전 10:48:00,
Delay before start logging:,0 min,
Frequency:,100 Hz,
Accelerometer FS:,16G,
Gyroscope FS:,4000dps,
Accelerometer x,Accelerometer y,Accelerometer z
-1.839375,-7.3575,6.739584961
-1.638193359,-7.3575,7.218588867
-1.307680664,-7.56347168,6.955136719
-1.590292969,-7.194638672,7.505991211
-1.705253906,-6.547983398,7.45809082
-1.820214844,-6.011499023,7.482041016
-10.13572266,-7.855664063,15.09341309
-0.641865234,-4.258344727,6.102509766
-1.935175781,-4.550537109,7.893984375
-2.021396484,-3.803291016,8.756191406
-0.775986328,-1.796264648,6.667734375
-1.398691406,-3.966152344,8.559799805
-2.969824219,-4.469106445,11.6733252
-1.872905273,-3.084785156,9.40284668
-2.026186523,-2.735112305,8.612490234
-2.141147461,-2.979404297,9.000483398
-2.371069336,-2.835703125,8.947792969
-2.586621094,-2.572250977,9.038803711
-2.610571289,-2.280058594,8.981323242
-2.835703125,-1.719624023,9.077124023
-3.151845703,-0.991538086,9.139394531
-4.172124023,-1.025068359,8.808881836
-3.103945313,-0.86699707,8.966953125
-3.463198242,-0.483793945,8.8903125
-3.420087891,-0.641865234,8.885522461
-3.467988281,-0.464633789,8.804091797
-3.448828125,-0.51253418,8.875942383
-3.353027344,-0.646655273,8.899892578
-2.917133789,-1.250200195,9.340576172
-3.070415039,-1.010698242,9.642348633
-2.931503906,-1.116079102,9.302255859
-3.295546875,-0.771196289,8.938212891
-3.410507813,-0.249082031,9.115444336
-3.554208984,0.095800781,9.498647461
-4.066743164,0.656235352,9.623188477
-4.148173828,-0.81909668,9.987231445
-3.31949707,-0.603544922,9.326206055
-3.108735352,-1.192719727,8.995693359
-3.285966797,-2.050136719,9.292675781
-2.677631836,-2.222578125,9.469907227
-2.179467773,-3.295546875,9.718989258
-2.7590625,-3.060834961,9.115444336
-3.094365234,-2.533930664,9.101074219
-2.768642578,-1.733994141,8.938212891
-1.78668457,-0.871787109,8.976533203
-2.778222656,-2.610571289,9.742939453
-2.739902344,-1.887275391,9.259145508
-3.041674805,-1.475332031,8.986113281
-3.324287109,-1.796264648,8.760981445
-2.098037109,-1.408271484,9.220825195
-3.204536133,-1.834584961,8.856782227
-3.156635742,-1.48012207,8.555009766
-3.113525391,-1.393901367,8.780141602
-3.879931641,-2.126777344,8.339458008
-4.181704102,-2.418969727,8.104746094
-4.742138672,-1.537602539,9.436376953
-4.229604492,-0.680185547,8.94300293
-4.775668945,-0.10059082,9.426796875
-3.822451172,-1.566342773,8.080795898
-4.167333984,-1.901645508,7.0509375
-5.182822266,-2.7590625,7.429350586
-5.470224609,-2.768642578,8.540639648
-5.800737305,-2.562670898,8.052055664
-6.164780273,-2.50519043,8.114326172
-6.342011719,-2.768642578,7.630532227
-6.322851563,-2.50519043,8.693920898
-6.203100586,-2.840493164,8.042475586
-5.954018555,-2.543510742,8.12390625
-5.867797852,-2.4525,7.467670898
-6.136040039,-2.562670898,7.10362793
-6.246210938,-2.902763672,6.428232422
-6.346801758,-2.749482422,7.175478516
-6.159990234,-2.203417969,7.414980469
-5.738466797,-2.361489258,6.945556641
-6.064189453,-2.586621094,7.898774414
-6.236630859,-3.103945313,7.352709961
-6.533613281,-3.190166016,7.640112305
-6.634204102,-2.926713867,7.391030273
-5.896538086,-2.672841797,7.223378906
-6.634204102,-3.046464844,6.662944336
-6.816225586,-3.333867188,6.342011719
-6.821015625,-3.046464844,6.854545898
-6.686894531,-3.11831543,6.615043945
-6.480922852,-3.252436523,6.615043945
-6.931186523,-3.420087891,6.773115234
-6.849755859,-3.228486328,6.940766602
-6.926396484,-3.070415039,6.720424805
-6.931186523,-3.252436523,6.964716797
-7.007827148,-3.343447266,6.864125977
-6.773115234,-3.199746094,6.576723633
-6.543193359,-3.142265625,6.342011719
-6.892866211,-3.439248047,7.199428711
-6.959926758,-3.506308594,6.126459961
-6.964716797,-3.47277832,6.169570313
-7.060517578,-3.31949707,6.188730469
-6.79706543,-3.185375977,5.891748047
-7.156318359,-3.008144531,6.126459961
-7.094047852,-3.343447266,6.428232422
-7.213798828,-3.420087891,6.303691406
-7.285649414,-3.262016602,6.308481445
-7.352709961,-3.089575195,6.38512207
-7.242539063,-3.003354492,6.040239258
-7.280859375,-2.687211914,6.021079102
-7.209008789,-2.950664063,6.169570313
-7.419770508,-2.869233398,5.92527832
-7.644902344,-2.620151367,6.251000977
-7.831713867,-2.639311523,6.658154297
-7.812553711,-2.208208008,6.365961914
-7.707172852,-1.973496094,5.87737793
-7.697592773,-1.997446289,5.858217773
-7.496411133,-1.537602539,5.680986328
-7.692802734,-0.680185547,5.997128906
-7.740703125,-1.096918945,6.351591797
-7.185058594,-1.949545898,5.115761719
-7.961044922,-1.259780273,5.393583984
-7.644902344,-1.192719727,5.886958008
-7.860454102,-0.364042969,5.393583984
-7.587421875,-0.574804688,5.350473633
-7.850874023,-0.498164063,5.700146484
-7.6640625,-0.196391602,6.011499023
-7.759863281,-0.038320313,5.939648438
-7.846083984,0.258662109,5.805527344
-7.659272461,0.277822266,5.661826172
-7.898774414,0.397573242,5.407954102
-7.812553711,0.411943359,5.41753418
-7.941884766,0.35925293,5.470224609
-8.052055664,0.555644531,5.676196289
-7.807763672,0.708925781,5.57081543
-8.028105469,0.752036133,5.575605469
-7.999365234,0.651445313,5.508544922
-8.056845703,0.421523438,5.719306641
-8.104746094,0.45984375,5.585185547
-8.143066406,0.364042969,5.494174805
-8.004155273,0.479003906,5.422324219
-8.114326172,0.522114258,5.446274414
-7.884404297,0.804726563,5.221142578
-7.937094727,0.828676758,5.168452148
-7.941884766,0.914897461,5.144501953
-8.248447266,0.732875977,5.302573242
-8.234077148,0.637075195,5.197192383
-8.2771875,0.752036133,5.201982422
-7.783813477,0.608334961,5.178032227
-9.273515625,0.330512695,5.494174805
-8.655600586,0.536484375,4.919370117
-8.53105957,0.622705078,5.240302734
-8.535849609,0.694555664,5.201982422
-8.58375,0.799936523,5.139711914
-8.612490234,0.761616211,4.914580078
-8.147856445,0.86699707,4.397255859
-9.010063477,0.589174805,4.972060547
-8.650810547,0.747246094,4.991220703
-8.555009766,1.07296875,4.924160156
-9.014853516,0.646655273,5.120551758
-8.770561523,0.311352539,4.689448242
-8.555009766,0.330512695,4.234394531
-8.981323242,0.871787109,4.646337891
-8.8903125,0.105380859,5.273833008
-8.928632813,0.301772461,5.139711914
-8.569379883,0.033530273,4.636757813
-7.841293945,0.986748047,4.272714844
-9.024433594,1.5328125,4.837939453
-7.989785156,-0.229921875,4.152963867
-8.660390625,-0.311352539,4.905
-8.693920898,0.718505859,4.493056641
-8.741821289,-0.134121094,4.684658203
-8.703500977,0.809516602,3.956572266
-9.120234375,0.402363281,4.895419922
-8.8903125,-0.023950195,4.842729492
-9.000483398,-0.110170898,5.072651367
-9.014853516,-0.320932617,4.507426758
-8.607700195,-0.35925293,4.54574707
-8.981323242,0.05269043,5.034331055
-8.722661133,0.292192383,5.436694336
-8.655600586,0.450263672,4.65112793
-8.602910156,0.004790039,4.646337891
-8.516689453,-0.067060547,4.306245117
-8.555009766,-0.378413086,4.555327148
-8.641230469,-0.273032227,4.842729492
-8.770561523,-0.632285156,5.407954102
-8.856782227,-0.440683594,4.69902832
-9.000483398,-0.838256836,5.197192383
-8.966953125,-0.977167969,5.120551758
-8.717871094,-0.522114258,5.096601563
-8.588540039,-0.349672852,5.015170898
-8.497529297,-0.301772461,5.106181641
-8.507109375,-0.574804688,4.837939453
-8.507109375,-0.843046875,4.967270508
-8.396938477,-0.785566406,4.785249023
-8.411308594,-0.689765625,4.684658203
-8.17659668,-1.015488281,4.857099609
-8.444838867,-0.804726563,4.569697266
-8.32987793,-0.929267578,4.718188477
-8.502319336,-1.264570313,4.933740234
-8.401728516,-1.250200195,5.082231445
-8.526269531,-1.240620117,5.096601563
-8.574169922,-1.350791016,5.015170898
-8.593330078,-1.422641602,5.41753418
-8.708291016,-1.43222168,5.676196289
-8.58375,-1.197509766,5.704936523
-7.874824219,-0.742456055,4.708608398
-7.232958984,-0.215551758,4.636757813
-7.826923828,-0.05269043,4.478686523
-7.688012695,-0.531694336,3.899091797
-7.688012695,-1.154399414,3.975732422
-8.133486328,-1.781894531,4.703818359
-8.310717773,-1.369951172,5.412744141
-8.875942383,-1.451381836,5.446274414
-9.187294922,-1.748364258,5.197192383
-8.478369141,-1.489702148,5.336103516
-9.307045898,-1.446591797,6.356381836
-11.83139648,-0.603544922,6.423442383
-8.799301758,-1.456171875,6.011499023
-8.698710938,-1.336420898,5.609135742
-8.387358398,-1.441801758,5.503754883
-8.832832031,-2.021396484,5.834267578
-8.770561523,-2.107617188,5.431904297
-9.048383789,-2.715952148,5.704936523
-9.168134766,-2.754272461,5.216352539
-8.708291016,-2.648891602,5.106181641
-9.182504883,-2.35190918,4.502636719
-8.095166016,-2.121987305,4.718188477
-8.037685547,-2.021396484,4.454736328
-7.941884766,-2.098037109,4.449946289
-7.980205078,-2.054926758,4.512216797
-8.07121582,-2.304008789,4.636757813
-8.2771875,-2.486030273,4.799619141
-8.368198242,-2.672841797,5.321733398
-7.678432617,-2.050136719,5.173242188
-7.592211914,-2.404599609,5.551655273
-7.783813477,-2.208208008,4.952900391
-7.654482422,-2.121987305,3.903881836
-7.520361328,-1.978286133,4.660708008
-8.076005859,-2.735112305,4.536166992
-7.424560547,-3.496728516,5.163662109
-8.22449707,-2.696791992,5.254672852
-8.205336914,-2.936293945,5.700146484
-7.855664063,-3.309916992,5.676196289
-7.726333008,-3.314707031,6.006708984
-7.769443359,-3.084785156,6.322851563
-7.573051758,-3.194956055,6.011499023
-7.587421875,-3.266806641,5.024750977
-7.51078125,-3.199746094,4.703818359
-7.031777344,-3.405717773,5.05828125
-7.573051758,-3.060834961,5.034331055
-7.812553711,-2.500400391,5.259462891
-7.961044922,-3.151845703,5.561235352
-7.81734375,-3.295546875,5.604345703
-7.841293945,-3.103945313,5.369633789
-7.922724609,-3.204536133,5.379213867
-9.340576172,-2.222578125,4.636757813
-7.089257813,-2.347119141,4.842729492
-7.927514648,-2.395019531,5.139711914
-7.927514648,-2.500400391,5.029541016
-6.552773438,-2.70637207,5.125341797
-7.597001953,-3.027304688,5.637875977
-8.080795898,-3.290756836,6.28453125
-7.419770508,-3.946992188,6.021079102
-7.367080078,-4.387675781,5.853427734
-7.117998047,-4.588857422,6.562353516
-1.259780273,-3.496728516,7.927514648
-6.725214844,-4.641547852,6.33722168
-9.733359375,-6.480922852,5.776787109
-6.150410156,-2.016606445,6.097719727
-5.800737305,-4.411625977,7.10362793
-5.609135742,-3.918251953,7.170688477
-5.657036133,-4.670288086,7.496411133
-9.120234375,-5.623505859,9.513017578
-5.92527832,-4.378095703,8.574169922
-6.150410156,-5.498964844,8.143066406
-5.436694336,-3.970942383,7.774233398
-4.742138672,-4.143383789,8.463999023
-5.178032227,-3.879931641,7.620952148
-5.087021484,-3.741020508,9.522597656
-5.954018555,-2.773432617,8.679550781
-5.666616211,-4.560117188,8.478369141
-5.297783203,-3.937412109,8.914262695
-4.938530273,-3.755390625,8.315507813
-4.847519531,-4.014052734,8.095166016
