Measurement label:,Right,
Configuration date:,2018. 8. 9. 오전 10:21:00,
Delay before start logging:,0 min,
Frequency:,100 Hz,
Accelerometer FS:,16G,
Gyroscope FS:,4000dps,
Accelerometer x,Accelerometer y,Accelerometer z
-2.227368164,-7.855664063,5.077441406
-2.141147461,-7.165898438,4.991220703
-2.371069336,-6.830595703,5.091811523
-2.098037109,-7.022197266,4.775668945
-1.997446289,-7.491621094,5.000800781
-2.476450195,-7.941884766,5.704936523
-2.35190918,-7.501201172,5.41753418
-2.102827148,-7.951464844,5.206772461
-2.016606445,-7.994575195,5.398374023
-1.63340332,-7.927514648,5.508544922
-2.136357422,-7.702382813,5.714516602
-2.4525,-7.625742188,5.642666016
-1.609453125,-8.214916992,5.077441406
-1.844165039,-8.042475586,5.321733398
-2.294428711,-7.711962891,5.345683594
-2.1459375,-7.683222656,5.278623047
-2.165097656,-7.616162109,5.091811523
-2.136357422,-7.903564453,5.106181641
-2.002236328,-7.802973633,5.374423828
-1.93996582,-7.654482422,5.388793945
-1.848955078,-7.271279297,5.254672852
-2.035766602,-7.592211914,5.623505859
-2.088457031,-7.941884766,5.997128906
-2.126777344,-8.152646484,6.011499023
-2.29921875,-8.095166016,6.265371094
-2.189047852,-7.692802734,5.944438477
-1.077758789,-7.937094727,4.75171875
-1.27894043,-7.91793457,5.388793945
-2.754272461,-6.605463867,6.495292969
-1.264570313,-7.889194336,5.31215332
-1.810634766,-7.788603516,6.040239258
-2.179467773,-7.175478516,6.188730469
-2.725532227,-7.309599609,6.121669922
-4.684658203,-6.777905273,7.381450195
-3.961362305,-6.854545898,6.653364258
-1.484912109,-8.310717773,5.719306641
-1.901645508,-8.885522461,8.478369141
-1.901645508,-7.874824219,6.49050293
-2.70637207,-8.368198242,6.447392578
-2.414179688,-6.365961914,6.782695313
-3.027304688,-5.460644531,7.098837891
-3.875141602,-4.593647461,7.539521484
-4.521796875,-3.860771484,7.477250977
-5.039121094,-2.749482422,6.84496582
-5.321733398,-2.29921875,6.696474609
-5.67140625,-2.634521484,7.371870117
-5.752836914,-3.01293457,7.697592773
-5.934858398,-3.065625,8.080795898
-5.987548828,-3.324287109,8.147856445
-6.274951172,-2.332749023,7.946674805
-6.404282227,-2.236948242,7.774233398
-6.452182617,-1.590292969,7.199428711
-6.935976563,-1.374741211,7.127578125
-7.218588867,-1.192719727,7.553891602
-7.290439453,-1.001118164,7.534731445
-7.113208008,-1.413061523,7.309599609
-6.926396484,-2.179467773,7.505991211
-7.065307617,-2.610571289,7.577841797
-7.141948242,-2.217788086,7.113208008
-7.333549805,-2.083666992,7.20421875
-7.213798828,-1.844165039,6.89765625
-7.170688477,-1.753154297,6.768325195
-7.333549805,-1.264570313,6.509663086
-7.352709961,-1.001118164,6.480922852
-7.146738281,-1.365161133,6.638994141
-7.841293945,0.091010742,6.040239258
-7.616162109,0.651445313,5.642666016
-8.358618164,0.708925781,5.906118164
-7.587421875,-0.172441406,6.126459961
-7.697592773,-0.51253418,6.552773438
-7.707172852,-0.550854492,6.619833984
-7.81734375,-0.182021484,6.504873047
-7.783813477,-0.196391602,6.28453125
-7.779023438,-0.091010742,5.982758789
-7.865244141,0.177231445,6.097719727
-7.711962891,-0.105380859,6.332431641
-7.592211914,0.138911133,6.322851563
-7.836503906,0.474213867,6.059399414
-7.850874023,0.550854492,5.700146484
-7.961044922,0.493374023,5.800737305
-8.12390625,0.536484375,5.604345703
-8.205336914,0.689765625,5.661826172
-8.353828125,0.799936523,5.728886719
-8.229287109,0.431103516,6.246210938
-8.478369141,0.311352539,6.466552734
-8.258027344,0.368833008,6.241420898
-8.401728516,0.670605469,5.460644531
-8.526269531,0.9196875,5.187612305
-8.612490234,1.053808594,5.096601563
-8.550219727,1.427431641,4.675078125
-8.119116211,1.293310547,4.296665039
-8.32987793,1.78668457,3.812871094
-8.550219727,1.772314453,4.114643555
-8.799301758,1.451381836,4.713398438
-9.04359375,1.360371094,5.144501953
-9.158554688,1.264570313,5.805527344
-9.115444336,1.365161133,5.115761719
-9.101074219,1.916015625,3.961362305
-9.115444336,2.136357422,3.496728516
-8.962163086,1.365161133,4.081113281
-9.546547852,2.021396484,3.851191406
-9.460327148,2.380649414,3.295546875
-9.441166992,1.853745117,3.209326172
-9.575288086,1.245410156,3.391347656
-9.407636719,1.547182617,2.797382813
-9.09628418,1.451381836,2.313588867
-9.584868164,1.336420898,2.624941406
-10.21236328,0.536484375,4.057163086
-9.81,-0.474213867,4.809199219
-9.067543945,-0.421523438,3.439248047
-8.320297852,-1.350791016,3.079995117
-7.961044922,-1.743574219,2.692001953
-8.195756836,-1.528022461,2.481240234
-8.550219727,-1.556762695,2.533930664
-9.158554688,-2.169887695,2.787802734
-8.866362305,-3.103945313,3.444038086
-8.679550781,-3.491938477,3.539838867
-8.2771875,-3.324287109,2.524350586
-7.529941406,-3.990102539,3.01293457
-6.993457031,-4.790039063,3.650009766
-6.605463867,-4.928950195,3.650009766
-5.939648438,-5.446274414,4.095483398
-6.768325195,-5.000800781,3.669169922
-7.242539063,-4.655917969,2.65847168
-7.846083984,-4.34456543,2.054926758
-8.880732422,-4.459526367,2.50519043
-9.192084961,-5.149291992,3.405717773
-8.459208984,-5.800737305,3.889511719
-10.47102539,-4.746928711,3.113525391
-7.76465332,-5.508544922,2.720742188
-6.84496582,-6.059399414,3.108735352
-7.668852539,-6.840175781,4.296665039
-7.276069336,-6.447392578,3.889511719
-7.491621094,-6.241420898,3.439248047
-7.295229492,-5.585185547,2.232158203
-6.753955078,-5.575605469,2.620151367
-7.141948242,-6.001918945,3.429667969
-6.600673828,-6.318061523,3.951782227
-6.23184082,-6.768325195,4.186494141
-6.701264648,-6.701264648,3.994892578
-7.022197266,-6.619833984,3.73144043
-5.431904297,-7.094047852,2.09324707
-5.398374023,-6.758745117,3.266806641
-7.644902344,-6.533613281,2.519560547
-7.041357422,-5.848637695,1.801054688
-6.203100586,-5.891748047,1.580712891
-7.755073242,-4.823569336,0.637075195
-6.576723633,-4.421206055,1.374741211
-8.12390625,-5.8246875,1.202299805
-20.62111816,-6.495292969,-0.172441406
-9.939331055,-8.401728516,0.493374023
-7.424560547,-5.738466797,0.81909668
-7.941884766,-5.853427734,0.268242188
-7.989785156,-5.949228516,0.392783203
-8.12390625,-5.930068359,0.378413086
-8.267607422,-5.906118164,0.143701172
-8.267607422,-5.661826172,0.541274414
-7.913144531,-4.976850586,-1.32684082
-8.253237305,-4.574487305,-0.804726563
-7.505991211,-5.115761719,0.316142578
-7.889194336,-5.125341797,0.110170898
-6.730004883,-5.245092773,0.354462891
-7.908354492,-5.546865234,0.421523438
-8.962163086,-6.140830078,1.858535156
-8.665180664,-5.704936523,1.657353516
-8.650810547,-5.384003906,0.823886719
-8.8903125,-5.087021484,0.574804688
-8.899892578,-4.718188477,-0.210761719
-8.655600586,-4.325405273,0.071850586
-8.468789063,-4.909790039,0.234711914
-8.559799805,-5.67140625,2.193837891
-8.444838867,-5.604345703,2.074086914
-8.497529297,-5.513334961,2.275268555
