Measurement label:,Left,
Configuration date:,2018. 8. 9. 오전 10:20:00,
Delay before start logging:,0 min,
Frequency:,100 Hz,
Accelerometer FS:,16G,
Gyroscope FS:,4000dps,
Accelerometer x,Accelerometer y,Accelerometer z
-4.746928711,-4.560117188,7.855664063
-4.890629883,-4.972060547,8.2771875
-5.091811523,-5.230722656,8.703500977
-5.307363281,-4.80440918,8.435258789
-5.326523438,-4.833149414,8.808881836
-5.039121094,-4.842729492,8.210126953
-4.473896484,-3.937412109,6.988666992
-4.5984375,-4.421206055,6.854545898
-5.015170898,-4.416416016,7.386240234
-5.063071289,-4.19128418,7.400610352
-5.240302734,-4.837939453,7.884404297
-4.809199219,-5.197192383,7.544311523
-3.683540039,-4.900209961,7.247329102
-5.479804688,-5.015170898,8.396938477
-5.149291992,-3.257226563,7.486831055
-5.762416992,-2.380649414,6.370751953
-5.441484375,-2.284848633,6.016289063
-5.67140625,-2.744692383,6.054609375
-5.661826172,-3.635639648,6.610253906
-5.973178711,-3.822451172,7.199428711
-5.910908203,-2.926713867,6.79706543
-5.863007813,-2.936293945,6.605463867
-5.589975586,-3.67875,7.175478516
-5.336103516,-4.339775391,8.334667969
-4.799619141,-4.282294922,7.956254883
-4.536166992,-4.03800293,7.276069336
-4.416416016,-3.841611328,7.213798828
-4.555327148,-3.846401367,7.295229492
-4.560117188,-4.349355469,7.6640625
-4.641547852,-4.081113281,7.395820313
-5.858217773,-2.021396484,6.121669922
-5.733676758,-2.380649414,6.682104492
-5.489384766,-3.463198242,7.520361328
-5.369633789,-3.736230469,7.56347168
-5.518125,-3.099155273,6.840175781
-5.815107422,-2.715952148,6.758745117
-5.886958008,-2.668051758,6.332431641
-5.690566406,-3.223696289,6.169570313
-5.863007813,-3.717070313,7.51078125
-6.222260742,-4.047583008,7.688012695
-6.38512207,-3.127895508,6.495292969
-6.097719727,-2.586621094,6.054609375
-6.227050781,-2.821333008,5.954018555
-6.878496094,-2.184257813,5.532495117
-7.802973633,-1.628613281,5.182822266
-8.229287109,-1.417851563,5.230722656
-8.186176758,-1.551972656,5.57081543
-8.013735352,-2.438129883,6.289321289
-7.759863281,-2.069296875,5.87737793
-7.941884766,-1.733994141,5.26425293
-8.234077148,-1.647773438,5.00559082
-8.301137695,-1.580712891,4.081113281
-8.085585938,-1.791474609,3.702700195
-7.582631836,-1.944755859,3.27159668
-8.162226563,-1.671723633,3.276386719
-8.406518555,-2.007026367,3.88472168
-8.516689453,-1.901645508,3.463198242
-9.057963867,-1.695673828,2.821333008
-9.40284668,-2.232158203,3.568579102
-9.570498047,-2.490820313,3.630849609
-9.254355469,-2.715952148,4.114643555
-9.196875,-3.075205078,4.449946289
-9.441166992,-3.022514648,4.469106445
-9.115444336,-3.127895508,4.220024414
-8.406518555,-2.897973633,3.31949707
-8.665180664,-3.027304688,3.62605957
-8.976533203,-3.314707031,3.990102539
-8.962163086,-3.209326172,3.875141602
-9.057963867,-3.022514648,3.439248047
-9.833950195,-3.089575195,3.870351563
-9.877060547,-3.228486328,4.291875
-9.805209961,-2.917133789,3.650009766
-13.36899902,0.273032227,7.419770508
-9.038803711,-4.885839844,1.959125977
-8.138276367,-2.256108398,2.19862793
-7.199428711,-3.477568359,3.444038086
-6.552773438,-3.688330078,3.147055664
-7.209008789,-3.094365234,2.897973633
-8.004155273,-2.572250977,2.854863281
-8.641230469,-2.500400391,3.16621582
-9.560917969,-2.256108398,3.247646484
-8.808881836,-3.238066406,4.181704102
-8.392148438,-2.960244141,3.808081055
-8.631650391,-3.467988281,4.665498047
-8.104746094,-2.888393555,3.21890625
-8.310717773,-2.663261719,2.648891602
-8.061635742,-3.099155273,2.596201172
-4.373305664,-4.900209961,3.554208984
-8.48315918,-3.645219727,4.828359375
-7.482041016,-3.750600586,4.277504883
-6.351591797,-3.860771484,3.669169922
-7.462880859,-3.539838867,3.755390625
-7.946674805,-2.835703125,3.717070313
-7.117998047,-3.558999023,3.688330078
-8.147856445,-3.127895508,4.253554688
-8.535849609,-3.367397461,4.540957031
-6.619833984,-3.3721875,3.62605957
-8.511899414,-2.653681641,3.338657227
-10.98355957,-2.294428711,5.077441406
-5.273833008,-4.742138672,4.181704102
-7.472460938,-5.168452148,5.920488281
-8.205336914,-4.49784668,5.714516602
-6.830595703,-4.133803711,4.243974609
-7.266489258,-4.368515625,4.531376953
-6.782695313,-4.100273438,3.741020508
-6.442602539,-4.785249023,3.051254883
-7.175478516,-5.053491211,3.889511719
-7.285649414,-3.01293457,5.680986328
-10.6195166,-1.949545898,4.641547852
-8.804091797,-2.993774414,3.01293457
-11.13205078,-2.054926758,3.693120117
-9.340576172,-3.314707031,3.784130859
-7.779023438,-4.339775391,4.320615234
-8.545429688,-4.042792969,3.88472168
-8.12390625,-4.196074219,3.764970703
-7.036567383,-3.458408203,3.640429688
-7.15152832,-3.032094727,2.294428711
-9.489067383,-5.130131836,3.032094727
-9.920170898,-3.530258789,2.442919922
-7.87003418,-4.488266602,4.813989258
-8.48315918,-5.039121094,3.894301758
-8.186176758,-3.961362305,3.396137695
-7.76465332,-4.267924805,3.391347656
-7.45809082,-4.119433594,3.300336914
-7.137158203,-4.517006836,4.08590332
-6.916816406,-4.80440918,4.382885742
-7.678432617,-4.402045898,3.875141602
-7.582631836,-3.923041992,2.926713867
-7.414980469,-3.506308594,2.088457031
-9.072333984,-4.722978516,3.185375977
-8.296347656,-4.339775391,2.696791992
-8.248447266,-4.287084961,2.342329102
-7.759863281,-4.354145508,2.893183594
-6.99824707,-4.08590332,3.060834961
-6.725214844,-4.636757813,3.089575195
-6.912026367,-5.106181641,2.711162109
-9.5034375,-5.230722656,2.500400391
-7.750283203,-3.702700195,0.397573242
-8.78972168,-4.267924805,2.04534668
-8.727451172,-5.163662109,1.58550293
-7.908354492,-5.839057617,3.022514648
-7.414980469,-5.379213867,2.007026367
-8.147856445,-5.31215332,1.465751953
-8.152646484,-5.508544922,1.887275391
-8.363408203,-5.503754883,1.911225586
-9.330996094,-4.536166992,1.729204102
-8.904682617,-3.707490234,1.159189453
-7.443720703,-4.564907227,1.834584961
-7.755073242,-4.584067383,2.083666992
-8.847202148,-5.029541016,1.595083008
-9.268725586,-5.292993164,1.37953125
-9.014853516,-4.742138672,0.785566406
-9.048383789,-4.799619141,1.068178711
-8.286767578,-5.11097168,1.777104492
-8.487949219,-4.828359375,1.5328125
-7.807763672,-4.761298828,1.839375
-8.463999023,-4.052373047,0.771196289
-8.353828125,-3.774550781,0.617915039
