Measurement label:,Right,
Configuration date:,2018. 8. 9. 오후 2:28:00,
Delay before start logging:,0 min,
Frequency:,100 Hz,
Accelerometer FS:,16G,
Gyroscope FS:,4000dps,
Accelerometer x,Accelerometer y,Accelerometer z
-0.234711914,0.162861328,9.934541016
-0.038320313,0.119750977,9.637558594
0,0.488583984,9.407636719
-0.785566406,0.574804688,9.407636719
-0.488583984,-0.301772461,9.216035156
-1.815424805,0.411943359,10.65304688
-0.043110352,-0.282612305,9.311835938
0.148491211,-0.991538086,9.484277344
-1.163979492,-0.234711914,10.82548828
-1.034648438,-0.3065625,11.30928223
0.335302734,0.143701172,8.58375
-0.301772461,-0.450263672,9.378896484
-1.034648438,-0.479003906,9.704619141
-0.296982422,-0.450263672,8.693920898
-1.082548828,-0.3065625,9.086704102
-1.034648438,-0.651445313,9.287885742
-0.991538086,-0.694555664,9.86269043
-0.651445313,-0.565224609,9.901010742
-0.479003906,-0.641865234,9.896220703
-0.934057617,-0.45984375,9.972861328
-0.924477539,-0.627495117,9.915380859
-1.116079102,-0.622705078,9.685458984
-1.144819336,-0.637075195,9.220825195
-1.43222168,-0.258662109,9.5034375
-1.178349609,-0.263452148,9.517807617
-1.274150391,-0.479003906,9.723779297
-1.216669922,-0.708925781,9.637558594
-1.240620117,-0.756826172,9.651928711
-1.202299805,-0.694555664,9.541757813
-1.211879883,-0.627495117,9.536967773
-1.140029297,-0.579594727,9.651928711
-1.005908203,-0.708925781,9.560917969
-0.981958008,-0.555644531,9.575288086
-0.593964844,-0.790356445,9.230405273
-0.752036133,-0.392783203,9.465117188
-0.244291992,0.086220703,9.398056641
-0.656235352,-0.148491211,8.622070313
-2.208208008,-0.613125,10.06387207
-2.217788086,-1.518442383,10.28900391
-0.593964844,-2.581831055,9.580078125
-2.715952148,-0.905317383,12.75108398
8.794511719,-3.93262207,7.400610352
-1.676513672,-2.725532227,9.383686523
-1.925595703,-0.474213867,10.02076172
-2.021396484,-0.273032227,9.752519531
-2.179467773,0.546064453,9.014853516
-2.313588867,1.441801758,8.756191406
-2.509980469,1.825004883,8.966953125
-2.270478516,1.537602539,9.077124023
-2.524350586,0.828676758,9.771679688
-2.380649414,0.670605469,9.627978516
-2.366279297,0.728085938,9.680668945
-2.447709961,1.163979492,9.527387695
-2.447709961,1.671723633,9.259145508
-2.792592773,1.825004883,9.781259766
-2.763852539,2.280058594,9.029223633
-2.438129883,1.858535156,9.45074707
-2.672841797,2.078876953,9.575288086
-2.725532227,2.380649414,9.35015625
-2.744692383,2.581831055,9.182504883
-2.610571289,2.476450195,9.239985352
-2.457290039,2.720742188,9.014853516
-2.337539063,2.864443359,8.578959961
-2.361489258,2.323168945,8.775351563
-2.380649414,1.700463867,9.048383789
-2.639311523,1.73878418,9.235195313
-2.481240234,1.829794922,8.861572266
-2.816542969,1.551972656,9.460327148
-3.056044922,1.551972656,9.867480469
-3.180585938,1.887275391,9.786049805
-3.108735352,2.007026367,9.642348633
-3.01293457,1.762734375,9.632768555
-2.960244141,1.638193359,9.886640625
