Measurement label:,Left,
Configuration date:,2018. 8. 9. 오후 2:27:00,
Delay before start logging:,0 min,
Frequency:,100 Hz,
Accelerometer FS:,16G,
Gyroscope FS:,4000dps,
Accelerometer x,Accelerometer y,Accelerometer z
-0.747246094,-4.785249023,7.711962891
-0.450263672,-4.909790039,7.984995117
-0.785566406,-5.26425293,7.956254883
-0.876577148,-5.331313477,7.707172852
-0.886157227,-5.216352539,7.702382813
-0.847836914,-5.340893555,7.783813477
-0.742456055,-5.043911133,7.649692383
-0.483793945,-5.292993164,7.865244141
-0.742456055,-5.369633789,7.822133789
-0.737666016,-5.163662109,7.822133789
-0.833466797,-5.106181641,7.6640625
-0.86699707,-4.981640625,7.41019043
-0.862207031,-5.154082031,7.371870117
-0.723295898,-5.067861328,7.362290039
-0.775986328,-5.039121094,7.223378906
-0.833466797,-4.675078125,7.477250977
-1.27894043,-4.646337891,7.822133789
-1.269360352,-4.727768555,7.668852539
-0.996328125,-4.900209961,7.419770508
-0.929267578,-5.063071289,7.505991211
-1.154399414,-4.928950195,7.525151367
-1.149609375,-4.689448242,7.295229492
-1.101708984,-4.881049805,7.266489258
-1.039438477,-5.235512695,7.505991211
-1.049018555,-5.350473633,7.534731445
-1.101708984,-5.091811523,7.501201172
-0.320932617,-7.927514648,9.038803711
-1.465751953,-4.267924805,8.248447266
-1.896855469,-4.560117188,8.650810547
-1.571132813,-5.115761719,8.066425781
-1.935175781,-4.861889648,7.850874023
-2.165097656,-4.938530273,8.018525391
-2.007026367,-4.560117188,8.717871094
-2.409389648,-4.133803711,8.895102539
-3.611689453,-3.62605957,9.436376953
0.05269043,-3.295546875,7.438930664
-1.322050781,-3.860771484,8.186176758
-2.462080078,-3.003354492,7.601791992
-3.008144531,-3.913461914,7.984995117
2.241738281,-6.504873047,15.39039551
-6.859335938,-3.060834961,7.276069336
-4.081113281,-3.070415039,7.87003418
-3.228486328,-4.770878906,8.22449707
-3.295546875,-5.522915039,8.99090332
-3.084785156,-5.949228516,9.311835938
-3.606899414,-4.905,8.229287109
-3.994892578,-4.229604492,6.878496094
-5.748046875,-4.047583008,6.840175781
-3.314707031,-3.592529297,5.355263672
-4.790039063,-3.673959961,5.585185547
-4.65112793,-2.715952148,5.97796875
-5.355263672,-2.639311523,6.23184082
-5.767207031,-2.486030273,6.648574219
-5.97796875,-2.778222656,6.988666992
-5.992338867,-2.236948242,6.662944336
-6.18394043,-1.978286133,6.710844727
-6.207890625,-2.4525,7.146738281
-5.958808594,-3.3721875,7.242539063
-6.246210938,-3.707490234,7.180268555
-5.843847656,-2.988984375,6.99824707
-5.906118164,-3.266806641,7.012617188
-6.068979492,-4.890629883,7.098837891
-5.719306641,-4.339775391,7.343129883
-6.016289063,-1.523232422,6.035449219
-4.34456543,-3.616479492,4.823569336
-4.631967773,-5.297783203,4.13859375
-5.273833008,-4.042792969,4.5984375
-5.302573242,-3.400927734,7.113208008
-5.206772461,-3.252436523,7.026987305
-5.130131836,-3.185375977,6.782695313
-5.41753418,-3.855981445,6.298901367
-5.292993164,-3.420087891,5.786367188
-5.949228516,-4.387675781,5.944438477
-5.532495117,-3.951782227,6.188730469
-5.542075195,-3.83203125,6.442602539
-6.442602539,-4.622387695,7.089257813
-6.524033203,-3.458408203,5.87737793
-5.537285156,-4.75171875,7.108417969
-6.686894531,-4.349355469,6.476132813
-6.667734375,-3.827241211,5.652246094
-6.289321289,-4.39246582,6.169570313
-6.193520508,-3.669169922,6.006708984
-6.102509766,-3.415297852,5.384003906
-5.613925781,-4.071533203,4.722978516
-5.915698242,-4.608017578,5.154082031
-6.959926758,-2.907553711,5.034331055
-7.122788086,-2.735112305,4.952900391
-7.544311523,-3.721860352,5.024750977
-7.793393555,-4.124223633,5.609135742
-7.180268555,-3.113525391,6.610253906
-7.807763672,-3.73144043,5.546865234
-7.505991211,-4.105063477,5.36484375
-5.542075195,-4.95769043,5.930068359
-8.392148438,-3.448828125,5.733676758
-7.793393555,-4.358935547,3.784130859
-7.802973633,-3.946992188,4.493056641
-7.486831055,-3.741020508,4.75171875
-8.157436523,-4.287084961,4.813989258
-8.128696289,-4.584067383,5.235512695
-8.63644043,-3.688330078,5.455854492
-8.550219727,-2.653681641,4.857099609
-8.080795898,-2.888393555,5.043911133
-8.708291016,-2.864443359,3.027304688
-8.540639648,-3.93262207,4.03800293
-8.440048828,-3.137475586,4.234394531
-8.080795898,-3.252436523,4.34456543
-10.02076172,-3.544628906,3.994892578
-10.05908203,-2.921923828,4.866679688
-9.086704102,-3.343447266,3.875141602
-3.290756836,-3.180585938,0.943637695
-9.536967773,-3.616479492,5.154082031
-9.278305664,-3.171005859,3.491938477
-8.157436523,-2.366279297,2.907553711
-9.762099609,-2.098037109,3.487148438
-10.58119629,-2.217788086,3.065625
-9.536967773,-1.983076172,2.088457031
-9.752519531,-2.7590625,3.491938477
-10.96918945,-2.083666992,2.241738281
-10.13093262,-2.926713867,2.730322266
-9.388476563,-2.639311523,2.251318359
-9.187294922,-2.232158203,1.987866211
-9.891430664,-1.638193359,1.551972656
-9.335786133,-1.001118164,1.954335938
-9.771679688,-0.201181641,1.743574219
-10.71052734,-1.010698242,2.19862793
-10.57640625,-1.32684082,1.882485352
-10.6195166,-2.083666992,1.839375
-10.24589355,-2.131567383,1.58550293
-9.613608398,-1.78668457,0.996328125
-9.714199219,-2.021396484,0.752036133
-9.220825195,-2.035766602,0.325722656
-11.92240723,-3.103945313,2.1459375
-9.302255859,-1.652563477,-0.301772461
-10.05908203,-1.001118164,-1.082548828
-10.6434668,-1.298100586,-0.622705078
-9.527387695,-1.231040039,-0.934057617
-9.680668945,-1.504072266,-0.296982422
-7.247329102,-1.595083008,1.43222168
-9.072333984,-2.026186523,0.522114258
-10.15009277,-1.599873047,0.637075195
-9.623188477,-1.628613281,0.225131836
-9.493857422,-1.805844727,-0.019160156
-8.665180664,-1.623823242,0.498164063
-10.12135254,-1.987866211,-0.167651367
-9.977651367,-1.384321289,-0.780776367
-9.972861328,-1.259780273,-0.71371582
-9.819580078,-1.317260742,-0.349672852
-9.445957031,-1.916015625,-0.20597168
-9.115444336,-2.174677734,-0.546064453
-8.923842773,-2.088457031,-0.383203125
-8.349038086,-2.39980957,0.287402344
-9.541757813,-1.777104492,0.340092773
-10.05908203,-1.499282227,-0.004790039
-10.49497559,-1.197509766,-0.172441406
-10.38001465,-1.350791016,0.043110352
-9.718989258,-1.556762695,0.771196289
-9.201665039,-1.302890625,-0.244291992
