Measurement label:,Right,
Configuration date:,2018. 8. 9. 오후 3:41:00,
Delay before start logging:,0 min,
Frequency:,100 Hz,
Accelerometer FS:,16G,
Gyroscope FS:,4000dps,
Accelerometer x,Accelerometer y,Accelerometer z
-8.440048828,-1.609453125,6.03065918
-9.431586914,-2.581831055,6.744375
-5.762416992,-4.799619141,6.169570313
-5.685776367,-2.888393555,5.728886719
-14.03002441,3.52546875,12.74150391
-6.289321289,-3.769760742,7.189848633
-5.273833008,-1.700463867,6.935976563
-5.8246875,-2.126777344,8.626860352
-6.107299805,-1.566342773,8.018525391
-5.029541016,-0.66581543,6.773115234
-5.398374023,-1.657353516,6.207890625
-6.18394043,-1.767524414,7.022197266
-5.470224609,-1.408271484,7.51078125
-6.136040039,8.382568359,14.74374023
-4.943320313,-0.076640625,-3.77934082
-5.144501953,0.110170898,6.859335938
-7.525151367,-2.409389648,8.73703125
-6.926396484,-2.174677734,9.714199219
-9.580078125,-2.404599609,8.8903125
-6.294111328,-1.930385742,6.677314453
17.53633301,10.12135254,7.620952148
-4.19128418,2.476450195,5.379213867
-5.776787109,2.466870117,8.301137695
-5.407954102,3.88472168,8.032895508
-6.730004883,3.463198242,7.343129883
-5.087021484,4.459526367,6.442602539
-6.993457031,4.291875,5.661826172
-3.606899414,3.650009766,5.441484375
-3.726650391,4.186494141,6.279741211
-5.422324219,4.512216797,6.868916016
-7.084467773,2.744692383,8.976533203
-5.695356445,4.608017578,7.108417969
-5.781577148,4.378095703,6.260581055
-6.547983398,4.967270508,4.493056641
-5.800737305,5.053491211,4.75171875
-7.338339844,4.119433594,6.940766602
-7.87003418,3.975732422,7.649692383
-6.346801758,5.149291992,4.311035156
-3.875141602,9.326206055,4.23918457
-2.806962891,5.36484375,6.476132813
-3.664379883,3.47277832,8.689130859
-1.896855469,2.955454102,8.061635742
-0.258662109,-0.191601563,8.444838867
-4.028422852,2.366279297,7.56347168
-3.400927734,2.763852539,6.461762695
-3.362607422,2.418969727,6.983876953
-3.477568359,1.949545898,7.146738281
-4.071533203,2.342329102,6.193520508
-1.556762695,7.185058594,5.954018555
-5.451064453,1.207089844,7.999365234
-4.636757813,1.116079102,9.445957031
-3.477568359,1.427431641,11.03625
-7.070097656,-1.935175781,7.232958984
-4.655917969,-3.032094727,10.89254883
-6.064189453,-4.301455078,7.898774414
-4.938530273,-4.574487305,8.617280273
-4.770878906,-3.994892578,6.686894531
-3.937412109,-3.233276367,7.323969727
-3.812871094,-3.860771484,7.568261719
-3.77934082,-4.248764648,7.91793457
-3.444038086,-3.83203125,8.253237305
-3.175795898,-2.969824219,8.478369141
-2.366279297,-1.844165039,8.971743164
-2.284848633,-0.531694336,9.618398438
-1.805844727,-0.526904297,11.06499023
-0.799936523,1.499282227,11.57752441
-1.844165039,-0.641865234,10.92128906
-0.752036133,0.004790039,11.8697168
-0.814306641,0.239501953,12.4828418
-0.15328125,-0.584384766,12.86604492
-1.22625,-0.689765625,12.32477051
-2.725532227,-0.325722656,11.07936035
-2.672841797,-0.507744141,10.76800781
-3.079995117,-1.331630859,11.11289063
-2.442919922,-1.820214844,12.58822266
-1.317260742,-1.604663086,13.14386719
-0.622705078,-0.469423828,13.12949707
-0.364042969,0.086220703,13.41689941
-0.186811523,0.019160156,13.39773926
-0.316142578,0.158071289,13.01453613
-0.608334961,0.852626953,12.62654297
0.033530273,1.350791016,12.30082031
-0.392783203,0.258662109,11.83139648
-1.202299805,-0.550854492,11.39550293
-1.417851563,0.057480469,10.68178711
-1.264570313,0.598754883,10.02555176
-0.981958008,1.254990234,9.766889648
-1.187929688,-0.023950195,9.996811523
-0.584384766,-1.135239258,10.49018555
-0.35925293,-1.518442383,10.59556641
0.134121094,-1.096918945,10.74884766
0.526904297,-0.536484375,10.20757324
0.114960938,-0.498164063,10.21236328
0.756826172,-0.728085938,10.67699707
1.02027832,-0.661025391,10.58598633
0.45984375,-0.325722656,10.27463379
0.25387207,-0.416733398,9.968071289
-0.3065625,-1.312470703,9.972861328
1.207089844,-0.699345703,9.91059082
0.35925293,-0.843046875,9.685458984
0.057480469,-1.302890625,9.939331055
-0.795146484,-1.791474609,9.541757813
-1.298100586,-1.197509766,9.201665039
-0.608334961,-0.129331055,9.192084961
0.124541016,-0.536484375,9.647138672
2.414179688,2.610571289,14.07313477
0.076640625,-4.119433594,13.20134766
0.967587891,-1.231040039,8.262817383
-0.641865234,-0.795146484,9.374106445
-1.283730469,-0.076640625,8.880732422
-1.27894043,0.589174805,8.722661133
0.632285156,0.977167969,11.26138184
-0.761616211,-1.053808594,9.953701172
-1.168769531,-0.517324219,9.905800781
-1.005908203,-0.742456055,9.675878906
0.421523438,1.647773438,9.771679688
1.408271484,1.595083008,9.647138672
-1.254990234,1.484912109,9.790839844
-1.163979492,-0.522114258,10.05908203
-0.651445313,-0.886157227,9.829160156
-0.023950195,-2.783012695,9.814790039
-0.502954102,1.561552734,6.528823242
1.365161133,3.262016602,8.032895508
0.182021484,-0.670605469,11.03625
-0.10059082,0.277822266,9.766889648
-0.579594727,1.441801758,9.489067383
-0.239501953,0.656235352,9.733359375
0.081430664,-0.268242188,9.987231445
-0.536484375,0.886157227,9.723779297
-1.106499023,0.857416992,9.723779297
-1.092128906,0.603544922,9.742939453
-1.159189453,0.45984375,9.786049805
-1.12565918,0.474213867,9.771679688
-0.15328125,-0.689765625,10.10698242
-0.637075195,1.599873047,9.479487305
-0.364042969,1.22625,9.627978516
0.335302734,-0.172441406,9.929750977
-0.086220703,0.71371582,9.752519531
-0.167651367,0.814306641,9.762099609
0.014370117,-0.426313477,10.28421387
-0.440683594,-1.724414063,10.17404297
-0.699345703,1.681303711,9.445957031
-0.97237793,0.617915039,9.723779297
-1.235830078,-0.062270508,9.924960938
-0.10059082,-0.876577148,10.06387207
0.091010742,0.316142578,9.81
-0.550854492,1.456171875,9.580078125
-0.354462891,1.207089844,9.690249023
0.354462891,-0.182021484,9.987231445
-0.177231445,-0.632285156,9.781259766
-0.579594727,0.584384766,9.790839844
-0.852626953,1.140029297,9.65671875
-0.962797852,0.469423828,9.695039063
-0.584384766,-0.488583984,9.96328125
-0.584384766,1.192719727,9.70940918
0.210761719,-0.086220703,9.915380859
-0.239501953,0.953217773,9.781259766
-0.033530273,0.474213867,9.728569336
0.038320313,0.464633789,9.881850586
-0.392783203,0.397573242,9.824370117
-0.584384766,-0.158071289,9.958491211
-0.756826172,1.192719727,9.666298828
-0.857416992,-0.522114258,10.03513184
-0.421523438,-0.282612305,9.982441406
-0.392783203,0.565224609,9.733359375
-0.182021484,0.828676758,9.714199219
0.311352539,-0.062270508,9.881850586
-0.210761719,1.039438477,9.747729492
-0.51253418,0.876577148,9.723779297
-0.550854492,-0.517324219,10.03992188
-0.967587891,0.66581543,9.853110352
-0.847836914,0.450263672,9.814790039
-0.579594727,-0.258662109,9.996811523
-0.378413086,0.45984375,9.771679688
0.158071289,0.129331055,9.920170898
-0.277822266,0.97237793,9.627978516
0.086220703,0.301772461,9.814790039
-0.51253418,1.116079102,9.699829102
-0.517324219,-0.182021484,9.915380859
-0.617915039,-0.004790039,9.901010742
-0.977167969,0.392783203,9.752519531
-0.589174805,0.349672852,9.929750977
-0.378413086,0.244291992,9.939331055
