Measurement label:,Left,
Configuration date:,2018. 8. 9. 오후 3:40:00,
Delay before start logging:,0 min,
Frequency:,100 Hz,
Accelerometer FS:,16G,
Gyroscope FS:,4000dps,
Accelerometer x,Accelerometer y,Accelerometer z
-6.95034668,-4.924160156,4.761298828
-7.117998047,-3.520678711,5.36484375
-7.582631836,-4.277504883,5.57081543
-7.443720703,-4.066743164,5.36484375
-7.065307617,-4.521796875,5.422324219
-6.907236328,-4.80440918,5.676196289
-7.630532227,-3.980522461,5.733676758
-6.825805664,-4.397255859,5.604345703
-6.84496582,-4.584067383,5.240302734
-7.15152832,-4.483476563,5.527705078
-6.964716797,-4.090693359,5.407954102
-6.040239258,-5.475014648,5.954018555
-7.108417969,-3.458408203,6.356381836
-7.721542969,-4.334985352,4.454736328
-6.859335938,-3.788920898,5.154082031
-6.830595703,-4.148173828,4.933740234
-6.744375,-4.119433594,4.780458984
-7.070097656,-4.018842773,5.125341797
-6.576723633,-3.860771484,5.201982422
-6.983876953,-3.693120117,5.31215332
-7.041357422,-3.846401367,5.594765625
-7.189848633,-3.908671875,5.676196289
-7.089257813,-3.970942383,5.422324219
-6.638994141,-3.669169922,4.885839844
-5.475014648,-4.85230957,1.484912109
-7.189848633,-3.942202148,3.889511719
-6.758745117,-3.281176758,5.288203125
-6.99824707,-3.88472168,5.589975586
-6.926396484,-3.741020508,5.475014648
-7.017407227,-3.501518555,5.125341797
-6.974296875,-3.741020508,5.144501953
-6.79706543,-4.023632813,5.26425293
-6.365961914,-3.927832031,4.818779297
-6.088139648,-4.469106445,4.675078125
-6.389912109,-4.330195313,4.881049805
-6.79706543,-4.387675781,5.513334961
-6.902446289,-4.215234375,5.374423828
-7.036567383,-4.023632813,5.522915039
-7.0509375,-4.119433594,5.637875977
-5.604345703,-2.797382813,2.81175293
-8.056845703,-3.075205078,5.67140625
-7.453300781,-3.956572266,6.092929688
-7.20421875,-4.014052734,5.839057617
-7.496411133,-4.061953125,5.963598633
-7.697592773,-4.076323242,6.255791016
-7.558681641,-4.224814453,5.944438477
-7.56347168,-5.101391602,6.198310547
-7.10362793,-4.727768555,5.657036133
-7.122788086,-5.781577148,4.071533203
-7.156318359,-4.402045898,4.794829102
-6.825805664,-4.267924805,3.860771484
-6.28453125,-3.836821289,4.517006836
-6.816225586,-3.970942383,5.043911133
-6.777905273,-4.311035156,5.034331055
-6.773115234,-4.243974609,4.842729492
-6.892866211,-4.574487305,5.254672852
-6.768325195,-4.641547852,5.26425293
-6.811435547,-4.502636719,4.291875
-6.706054688,-4.718188477,4.406835938
-6.380332031,-4.052373047,4.430786133
-6.509663086,-4.397255859,4.339775391
-6.600673828,-4.713398438,4.210444336
-5.273833008,-5.460644531,4.636757813
-6.332431641,-3.913461914,3.908671875
-6.495292969,-4.263134766,4.243974609
-7.247329102,-5.446274414,5.374423828
-6.84496582,-4.454736328,4.665498047
-4.641547852,-4.39246582,1.317260742
-5.87737793,-4.828359375,4.215234375
-6.251000977,-5.273833008,4.483476563
-4.976850586,-5.254672852,2.926713867
-5.580395508,-5.589975586,4.157753906
-5.963598633,-6.308481445,4.679868164
-6.059399414,-6.188730469,4.627177734
-5.968388672,-5.891748047,4.181704102
-6.116879883,-5.906118164,4.03800293
-5.934858398,-6.068979492,3.927832031
-6.159990234,-6.246210938,4.210444336
-6.155200195,-6.595883789,4.224814453
-5.292993164,-7.922724609,4.220024414
-5.451064453,-6.720424805,3.688330078
-4.287084961,-6.112089844,2.878813477
-4.421206055,-5.968388672,2.969824219
-3.975732422,-6.236630859,2.653681641
-4.54574707,-6.370751953,2.984194336
-3.83203125,-6.605463867,2.562670898
-4.133803711,-7.132368164,3.180585938
-4.857099609,-7.568261719,3.879931641
-4.34456543,-5.786367188,3.127895508
-3.199746094,-6.298901367,2.054926758
-4.287084961,-6.725214844,2.184257813
-5.101391602,2.562670898,-1.690883789
-3.448828125,-7.515571289,0.876577148
-4.550537109,-7.644902344,2.907553711
-4.85230957,-7.237749023,3.065625
-5.00559082,-7.20421875,3.659589844
-4.608017578,-7.108417969,3.602109375
-4.363725586,-6.99824707,2.754272461
-4.5984375,-6.811435547,1.551972656
-3.673959961,-5.829477539,-0.464633789
-3.238066406,-4.933740234,3.3721875
-2.639311523,-4.69902832,3.065625
-2.251318359,-4.665498047,2.409389648
-3.113525391,-4.49784668,2.974614258
-3.999682617,-5.436694336,4.200864258
-4.790039063,-6.227050781,4.833149414
-5.451064453,-7.137158203,5.326523438
-4.933740234,-7.012617188,4.469106445
-4.813989258,-7.424560547,4.809199219
-4.900209961,-7.003037109,4.972060547
-5.019960938,-6.365961914,5.345683594
-5.498964844,-4.23918457,2.869233398
-5.355263672,-7.209008789,1.968706055
-5.498964844,-5.063071289,4.176914063
-5.786367188,-6.308481445,4.464316406
-6.289321289,-6.662944336,5.082231445
-5.695356445,-6.787485352,5.029541016
-5.546865234,-5.863007813,5.192402344
-5.288203125,-5.709726563,5.283413086
-4.857099609,-5.958808594,5.321733398
-4.943320313,-6.959926758,5.05828125
-4.047583008,-6.638994141,5.029541016
-4.938530273,-4.272714844,4.550537109
-4.315825195,-4.133803711,5.542075195
-3.329077148,-4.368515625,5.503754883
-2.160307617,-4.224814453,5.369633789
-3.391347656,-4.574487305,4.948110352
-3.084785156,-4.052373047,6.126459961
-3.745810547,-3.376977539,7.525151367
-4.895419922,-2.347119141,6.188730469
-4.440366211,-3.587739258,6.346801758
-11.0122998,-7.170688477,5.704936523
-2.366279297,-5.982758789,6.375541992
-4.081113281,-3.894301758,6.193520508
-1.571132813,-2.007026367,2.39980957
-0.871787109,2.09324707,5.934858398
-4.631967773,-6.006708984,7.012617188
-3.582949219,-4.066743164,6.155200195
-2.074086914,-2.04534668,5.451064453
-1.733994141,-1.374741211,4.469106445
-1.408271484,-1.216669922,3.42487793
-1.475332031,-0.589174805,3.602109375
-3.343447266,0.249082031,4.502636719
-4.555327148,0.469423828,5.609135742
-4.584067383,0.273032227,7.477250977
-5.403164063,1.025068359,8.243657227
-5.858217773,0.536484375,9.254355469
-3.204536133,1.274150391,8.272397461
-5.340893555,-0.905317383,10.05908203
-4.042792969,-0.282612305,10.39438477
-4.071533203,-0.225131836,10.50455566
-4.49784668,0.426313477,10.82069824
-6.188730469,1.748364258,11.68290527
-6.423442383,2.007026367,12.29124023
-6.361171875,3.161425781,12.96663574
-3.980522461,2.500400391,12.66965332
-3.736230469,1.504072266,13.70430176
-4.761298828,2.993774414,14.25515625
-4.881049805,2.692001953,15.25148438
-4.962480469,1.460961914,16.12806152
-3.693120117,0.823886719,15.84065918
-2.70637207,0.028740234,14.715
-2.514770508,0.004790039,13.98212402
-3.606899414,0.833466797,14.27910645
-3.635639648,0.445473633,13.34504883
-4.066743164,0.76640625,12.60738281
-2.294428711,0.531694336,8.693920898
-5.728886719,5.034331055,11.98946777
-1.729204102,1.106499023,12.86125488
-0.167651367,0.747246094,12.64570313
-2.059716797,0.646655273,12.44931152
-3.132685547,2.361489258,11.25180176
-2.538720703,2.509980469,10.37522461
-1.801054688,1.810634766,-0.062270508
-2.945874023,0.287402344,9.489067383
-1.777104492,3.147055664,8.262817383
-1.537602539,3.726650391,7.927514648
-2.91234375,1.935175781,8.626860352
-2.069296875,-0.019160156,8.248447266
-1.954335938,0.51253418,10.17404297
-1.619033203,0.057480469,9.321416016
-1.202299805,-1.010698242,9.843530273
-0.507744141,1.288520508,12.02299805
0.483793945,1.523232422,7.965834961
0.234711914,-0.637075195,9.259145508
1.571132813,-0.047900391,7.391030273
-0.981958008,-0.943637695,12.99537598
-1.398691406,3.309916992,6.686894531
-1.43222168,1.32684082,10.03513184
1.791474609,0.479003906,8.449628906
0.134121094,0.3065625,10.28421387
-1.216669922,0.143701172,9.316625977
0.517324219,-0.263452148,9.546547852
-0.038320313,0.699345703,9.230405273
-1.202299805,0.057480469,9.393266602
0.397573242,-0.033530273,9.489067383
0.038320313,0.411943359,9.383686523
-0.651445313,0.014370117,9.484277344
0.119750977,0.694555664,9.311835938
-0.555644531,-0.488583984,9.637558594
0.043110352,0.354462891,9.412426758
0.086220703,0.431103516,9.398056641
-0.996328125,0.287402344,9.235195313
0.05269043,0.555644531,9.359736328
-0.747246094,-0.043110352,9.374106445
0.033530273,0.45984375,9.29746582
-0.316142578,0.119750977,9.584868164
-0.086220703,0.474213867,9.426796875
-0.455053711,0.191601563,9.460327148
-0.014370117,0.416733398,9.273515625
-0.617915039,0.210761719,9.436376953
-0.043110352,0.421523438,9.29746582
-0.397573242,0.258662109,9.354946289
-0.182021484,0.311352539,9.326206055
-0.15328125,0.416733398,9.364526367
-0.469423828,0.340092773,9.340576172
-0.20597168,0.340092773,9.407636719
-0.177231445,0.368833008,9.393266602
-0.330512695,0.282612305,9.316625977
-0.20597168,0.40715332,9.441166992
-0.273032227,0.35925293,9.326206055
-0.335302734,0.325722656,9.340576172
-0.239501953,0.35925293,9.287885742
-0.186811523,0.311352539,9.455537109
-0.268242188,0.316142578,9.398056641
-0.229921875,0.316142578,9.369316406
-0.277822266,0.311352539,9.378896484
-0.244291992,0.364042969,9.441166992
-0.239501953,0.354462891,9.359736328
-0.301772461,0.325722656,9.364526367
-0.277822266,0.349672852,9.340576172
-0.268242188,0.3065625,9.35015625
-0.258662109,0.325722656,9.388476563
-0.244291992,0.349672852,9.393266602
-0.234711914,0.373623047,9.345366211
-0.258662109,0.373623047,9.388476563
-0.249082031,0.354462891,9.35015625
-0.220341797,0.35925293,9.393266602
-0.268242188,0.320932617,9.40284668
-0.263452148,0.368833008,9.378896484
-0.239501953,0.387993164,9.326206055
-0.273032227,0.349672852,9.316625977
-0.268242188,0.340092773,9.345366211
-0.249082031,0.368833008,9.436376953
-0.25387207,0.325722656,9.436376953
-0.292192383,0.325722656,9.407636719
-0.311352539,0.330512695,9.383686523
-0.234711914,0.354462891,9.398056641
-0.287402344,0.364042969,9.369316406
-0.258662109,0.354462891,9.335786133
-0.239501953,0.330512695,9.354946289
-0.273032227,0.35925293,9.40284668
-0.311352539,0.340092773,9.426796875
-0.277822266,0.325722656,9.431586914
-0.282612305,0.344882813,9.426796875
-0.249082031,0.387993164,9.307045898
-0.244291992,0.311352539,9.340576172
-0.244291992,0.3065625,9.335786133
-0.273032227,0.320932617,9.340576172
-0.3065625,0.373623047,9.374106445
-0.292192383,0.354462891,9.345366211
-0.268242188,0.296982422,9.330996094
-0.258662109,0.320932617,9.359736328
-0.258662109,0.354462891,9.374106445
-0.282612305,0.325722656,9.364526367
-0.273032227,0.330512695,9.35015625
-0.258662109,0.364042969,9.426796875
-0.258662109,0.316142578,9.340576172
-0.225131836,0.35925293,9.29746582
-0.263452148,0.320932617,9.364526367
-0.229921875,0.335302734,9.383686523
-0.301772461,0.316142578,9.35015625
-0.244291992,0.316142578,9.364526367
-0.239501953,0.296982422,9.445957031
-0.25387207,0.354462891,9.35015625
-0.311352539,0.35925293,9.388476563
-0.287402344,0.368833008,9.393266602
-0.244291992,0.3065625,9.354946289
-0.244291992,0.344882813,9.307045898
-0.25387207,0.387993164,9.292675781
-0.220341797,0.344882813,9.40284668
-0.25387207,0.368833008,9.335786133
-0.273032227,0.330512695,9.292675781
-0.268242188,0.344882813,9.369316406
-0.229921875,0.301772461,9.354946289
-0.3065625,0.316142578,9.283095703
-0.25387207,0.325722656,9.330996094
-0.225131836,0.292192383,9.417216797
-0.282612305,0.320932617,9.364526367
-0.282612305,0.354462891,9.29746582
-0.234711914,0.373623047,9.393266602
-0.268242188,0.373623047,9.302255859
-0.229921875,0.335302734,9.436376953
-0.220341797,0.340092773,9.364526367
-0.287402344,0.35925293,9.417216797
-0.311352539,0.349672852,9.321416016
-0.25387207,0.277822266,9.369316406
-0.277822266,0.335302734,9.383686523
-0.239501953,0.071850586,9.723779297
